#JD                    MAG              ERR               SURVEY Filter
2457285.135129999835  -0.018000000000   0.030000000000    ASAS-SN V
2457290.125440000091  -0.043000000000   0.022000000000    ASAS-SN V
2457290.126699999906  -0.008000000000   0.022000000000    ASAS-SN V
2457290.127969999798   0.035000000000   0.023000000000    ASAS-SN V
2457304.015469999984   0.016000000000   0.022000000000    ASAS-SN V
2457304.016729999799   0.039000000000   0.023000000000    ASAS-SN V
2457304.017990000080   0.017000000000   0.022000000000    ASAS-SN V
2457308.040260000154  -0.059000000000   0.023000000000    ASAS-SN V
2457308.041499999817  -0.048000000000   0.021000000000    ASAS-SN V
2457308.042750000022  -0.033000000000   0.021000000000    ASAS-SN V
2457313.961879999842  -0.004000000000   0.023000000000    ASAS-SN V
2457313.963119999971  -0.010000000000   0.022000000000    ASAS-SN V
2457316.958810000215  -0.039000000000   0.028000000000    ASAS-SN V
2457316.959720000159  -0.050000000000   0.028000000000    ASAS-SN V
2457316.960620000027   0.056000000000   0.030000000000    ASAS-SN V
2457317.897229999769  -0.042000000000   0.038000000000    ASAS-SN V
2457317.898140000179  -0.033000000000   0.038000000000    ASAS-SN V
2457317.899050000124   0.098000000000   0.039000000000    ASAS-SN V
2457319.043039999902  -0.025000000000   0.022000000000    ASAS-SN V
2457319.044290000107  -0.028000000000   0.021000000000    ASAS-SN V
2457319.891239999793   0.076000000000   0.036000000000    ASAS-SN V
2457319.892479999922  -0.073000000000   0.032000000000    ASAS-SN V
2457319.893740000203  -0.013000000000   0.035000000000    ASAS-SN V
2457322.887569999788  -0.158000000000   0.058000000000    ASAS-SN V
2457322.888830000069   0.036000000000   0.062000000000    ASAS-SN V
2457323.921140000224  -0.008000000000   0.054000000000    ASAS-SN V
2457323.922389999963   0.134000000000   0.055000000000    ASAS-SN V
2457328.051219999790   0.010000000000   0.028000000000    ASAS-SN V
2457328.052469999995  -0.055000000000   0.026000000000    ASAS-SN V
2457328.053729999810  -0.074000000000   0.029000000000    ASAS-SN V
2457328.895909999963   0.013000000000   0.025000000000    ASAS-SN V
2457328.897140000015  -0.015000000000   0.026000000000    ASAS-SN V
2457328.898399999831   0.019000000000   0.026000000000    ASAS-SN V
2457333.004619999789  -0.004000000000   0.022000000000    ASAS-SN V
2457333.005880000070   0.031000000000   0.023000000000    ASAS-SN V
2457333.007120000198  -0.030000000000   0.021000000000    ASAS-SN V
2457342.871340000071  -0.004000000000   0.030000000000    ASAS-SN V
2457342.872260000091  -0.004000000000   0.030000000000    ASAS-SN V
2457342.873159999959  -0.029000000000   0.029000000000    ASAS-SN V
2457358.044730000198  -0.031000000000   0.028000000000    ASAS-SN V
2457358.045990000013   0.013000000000   0.028000000000    ASAS-SN V
2457358.047240000218  -0.016000000000   0.026000000000    ASAS-SN V
2457358.995889999904  -0.016000000000   0.027000000000    ASAS-SN V
2457358.997130000032   0.002000000000   0.025000000000    ASAS-SN V
2457359.954220000189   0.038000000000   0.024000000000    ASAS-SN V
2457359.955480000004  -0.028000000000   0.024000000000    ASAS-SN V
2457360.893869999796   0.005000000000   0.023000000000    ASAS-SN V
2457360.895109999925   0.019000000000   0.023000000000    ASAS-SN V
2457360.896360000130   0.006000000000   0.022000000000    ASAS-SN V
2457361.912719999906  -0.020000000000   0.022000000000    ASAS-SN V
2457361.913980000187  -0.039000000000   0.021000000000    ASAS-SN V
2457362.893989999779   0.003000000000   0.022000000000    ASAS-SN V
2457362.895239999983   0.001000000000   0.023000000000    ASAS-SN V
2457362.896490000188  -0.004000000000   0.021000000000    ASAS-SN V
2457365.809040000197  -0.020000000000   0.023000000000    ASAS-SN V
2457365.810289999936  -0.016000000000   0.022000000000    ASAS-SN V
2457365.811530000065  -0.029000000000   0.022000000000    ASAS-SN V
2457366.825860000215   0.004000000000   0.024000000000    ASAS-SN V
2457366.827130000107  -0.005000000000   0.023000000000    ASAS-SN V
2457366.828379999846   0.014000000000   0.024000000000    ASAS-SN V
2457367.887079999782   0.047000000000   0.025000000000    ASAS-SN V
2457367.888329999987   0.003000000000   0.025000000000    ASAS-SN V
2457374.780879999977  -0.009000000000   0.023000000000    ASAS-SN V
2457374.782130000181  -0.006000000000   0.025000000000    ASAS-SN V
2457374.783369999845   0.014000000000   0.026000000000    ASAS-SN V
2457382.850060000084   0.003000000000   0.040000000000    ASAS-SN V
2457382.851309999824   0.068000000000   0.039000000000    ASAS-SN V
2457382.852560000028   0.018000000000   0.041000000000    ASAS-SN V
2457384.791679999791   0.040000000000   0.028000000000    ASAS-SN V
2457384.792929999996   0.031000000000   0.032000000000    ASAS-SN V
2457384.794180000201  -0.006000000000   0.028000000000    ASAS-SN V
2457386.819490000140  -0.045000000000   0.021000000000    ASAS-SN V
2457386.820729999803  -0.034000000000   0.021000000000    ASAS-SN V
2457386.821990000084  -0.012000000000   0.023000000000    ASAS-SN V
2457389.840919999871   0.041000000000   0.023000000000    ASAS-SN V
2457389.842160000000  -0.017000000000   0.023000000000    ASAS-SN V
