# BJD-2454833, Blended_Flux, Deblended_Flux, Error
2.989031916196603561e+03 1.003481830801328689e+00 1.006963661602657378e+00 1.129487174284200742e-04
2.989052348473080201e+03 1.003367688894142740e+00 1.006735377788285479e+00 1.129487174284200742e-04
2.989072780649083143e+03 1.003417132613676710e+00 1.006834265227353420e+00 1.129487174284200742e-04
2.989093212724626937e+03 1.003401797740403056e+00 1.006803595480806113e+00 1.129487174284200742e-04
2.989113644999706594e+03 1.003198587993713753e+00 1.006397175987427506e+00 1.129487174284200742e-04
2.989134077174312552e+03 1.002788118815387541e+00 1.005576237630775083e+00 1.129487174284200742e-04
2.989154509448460885e+03 1.002973185251746724e+00 1.005946370503493448e+00 1.129487174284200742e-04
2.989174941521676374e+03 1.003796065010231553e+00 1.007592130020463106e+00 1.129487174284200742e-04
2.989195373694885348e+03 1.004163621656125382e+00 1.008327243312250765e+00 1.129487174284200742e-04
2.989215805967171036e+03 1.004281289836330915e+00 1.008562579672661830e+00 1.129487174284200742e-04
2.989236238038989541e+03 1.004526216993042897e+00 1.009052433986085795e+00 1.129487174284200742e-04
2.989256670210335869e+03 1.004844527880276894e+00 1.009689055760553789e+00 1.129487174284200742e-04
2.989277102481224574e+03 1.003892495297677545e+00 1.007784990595355090e+00 1.129487174284200742e-04
2.989297534651181195e+03 1.003125277957878092e+00 1.006250555915756184e+00 1.129487174284200742e-04
2.989317966721129778e+03 1.002740113061318494e+00 1.005480226122636989e+00 1.129487174284200742e-04
2.989338398990155838e+03 1.002196066349729131e+00 1.004392132699458262e+00 1.129487174284200742e-04
2.989358831158715475e+03 1.001553900154870114e+00 1.003107800309740227e+00 1.129487174284200742e-04
2.989379263226801413e+03 1.001089730466754535e+00 1.002179460933509070e+00 1.129487174284200742e-04
2.989399695494430489e+03 1.001346145426486256e+00 1.002692290852972512e+00 1.129487174284200742e-04
2.989420127561592381e+03 1.001158345281357498e+00 1.002316690562714996e+00 1.129487174284200742e-04
2.989440559728282096e+03 1.000808781322549246e+00 1.001617562645098491e+00 1.129487174284200742e-04
2.989460991994048527e+03 1.000496749850526168e+00 1.000993499701052336e+00 1.129487174284200742e-04
2.989501856224640505e+03 9.998354155825168732e-01 9.996708311650337464e-01 1.129487174284200742e-04
2.989522288489009952e+03 9.998709003134553797e-01 9.997418006269107593e-01 1.129487174284200742e-04
2.989542720552912215e+03 9.995795912722084120e-01 9.991591825444168240e-01 1.129487174284200742e-04
2.989563152716342302e+03 9.993794346099182935e-01 9.987588692198365870e-01 1.129487174284200742e-04
2.989583584979314764e+03 9.991431953099360053e-01 9.982863906198720105e-01 1.129487174284200742e-04
2.989604017041820043e+03 9.990034966319267795e-01 9.980069932638535590e-01 1.129487174284200742e-04
2.989624449203387485e+03 9.992512487338544025e-01 9.985024974677088050e-01 1.129487174284200742e-04
2.989644881464497303e+03 9.997074374526421225e-01 9.994148749052842451e-01 1.129487174284200742e-04
2.989665313625606359e+03 1.000053783017738285e+00 1.000107566035476570e+00 1.129487174284200742e-04
2.989685745785776817e+03 1.000203092042004194e+00 1.000406184084008610e+00 1.129487174284200742e-04
2.989706177945488889e+03 1.000459851121977550e+00 1.000919702243954879e+00 1.129487174284200742e-04
2.989726610104262363e+03 1.000535277524059463e+00 1.001070555048119148e+00 1.129487174284200742e-04
2.989747042263043113e+03 1.000463167500787565e+00 1.000926335001575129e+00 1.129487174284200742e-04
2.989767474420892540e+03 1.000635447658602128e+00 1.001270895317204035e+00 1.129487174284200742e-04
2.989787906578741968e+03 1.000681185429137088e+00 1.001362370858274398e+00 1.129487174284200742e-04
2.989808338835653558e+03 1.000579889709078518e+00 1.001159779418157036e+00 1.129487174284200742e-04
2.989828770892105240e+03 1.000699641755374403e+00 1.001399283510748806e+00 1.129487174284200742e-04
