# BJD-2454833, Flux, Error
2.990850378152434132e+03 1.026093271945065721e+00 1.129487174284200742e-04
2.990870810282809543e+03 1.026574726273158378e+00 1.129487174284200742e-04
2.990891242412246356e+03 1.027148350699680357e+00 1.129487174284200742e-04
2.990911674541224784e+03 1.027347313546162377e+00 1.129487174284200742e-04
2.990932106669271889e+03 1.028096211749305322e+00 1.129487174284200742e-04
2.990952538797311718e+03 1.028707389311209974e+00 1.129487174284200742e-04
2.990972970924893161e+03 1.028965882296881240e+00 1.129487174284200742e-04
2.990993403051543282e+03 1.028964556182206280e+00 1.129487174284200742e-04
2.991013835278186889e+03 1.028760316509103490e+00 1.129487174284200742e-04
2.991034267303904926e+03 1.028419139501463464e+00 1.129487174284200742e-04
2.991054699429158063e+03 1.028712719071361192e+00 1.129487174284200742e-04
2.991075131653939025e+03 1.028827002512837208e+00 1.129487174284200742e-04
2.991095563678260078e+03 1.028857202620129918e+00 1.129487174284200742e-04
2.991115995802116231e+03 1.028798893120212776e+00 1.129487174284200742e-04
2.991136428025500209e+03 1.028403036686231564e+00 1.129487174284200742e-04
2.991156860048424278e+03 1.028006065364724941e+00 1.129487174284200742e-04
2.991177292170417786e+03 1.027581149430542462e+00 1.129487174284200742e-04
2.991197724392404780e+03 1.027462718772574446e+00 1.129487174284200742e-04
2.991218156413466204e+03 1.027394931389933097e+00 1.129487174284200742e-04
2.991238588534528390e+03 1.026158066438957794e+00 1.129487174284200742e-04
2.991259020754652738e+03 1.025395907073593182e+00 1.129487174284200742e-04
2.991279452774317178e+03 1.024309256891531961e+00 1.129487174284200742e-04
2.991299884893516719e+03 1.023448415891769603e+00 1.129487174284200742e-04
2.991320317112244084e+03 1.022646754239680211e+00 1.129487174284200742e-04
2.991340749230512301e+03 1.021920456588904180e+00 1.129487174284200742e-04
2.991361181247848435e+03 1.021116513096721246e+00 1.129487174284200742e-04
2.991381613465178816e+03 1.020032959318789789e+00 1.129487174284200742e-04
2.991402045581584389e+03 1.019299701313368445e+00 1.129487174284200742e-04
2.991422477697989962e+03 1.018081948461037722e+00 1.129487174284200742e-04
2.991463341928931186e+03 1.016145814958389515e+00 1.129487174284200742e-04
2.991483774143474875e+03 1.015206540094204968e+00 1.129487174284200742e-04
2.991504206157544104e+03 1.014395850061377891e+00 1.129487174284200742e-04
2.991524638271155709e+03 1.012854836222875754e+00 1.129487174284200742e-04
2.991545070384301653e+03 1.011548095854166052e+00 1.129487174284200742e-04
2.991565502496508998e+03 1.010649984561658110e+00 1.129487174284200742e-04
2.991585934608723619e+03 1.009639844109095241e+00 1.129487174284200742e-04
2.991606366720472579e+03 1.008423091142984118e+00 1.129487174284200742e-04
2.991626798831282940e+03 1.006728769945504087e+00 1.129487174284200742e-04
2.991647230842099816e+03 1.004992693622765776e+00 1.129487174284200742e-04
2.991667663051979616e+03 1.003546558563296554e+00 1.129487174284200742e-04
2.991688095161400270e+03 1.002231721651756446e+00 1.129487174284200742e-04
2.991708527270355262e+03 1.000862561313994092e+00 1.129487174284200742e-04
2.991728959378844593e+03 9.994582060681077573e-01 1.129487174284200742e-04
2.991749391486860986e+03 9.976633447292705403e-01 1.129487174284200742e-04
2.991769823594418995e+03 9.958322020715014711e-01 1.129487174284200742e-04
2.991790255701504066e+03 9.942831521349125845e-01 1.129487174284200742e-04
2.991810687808130751e+03 9.927009247050223584e-01 1.129487174284200742e-04
2.991831119913826114e+03 9.908036249752228963e-01 1.129487174284200742e-04
2.991851552119514963e+03 9.895143489555553451e-01 1.129487174284200742e-04
2.991871984124278242e+03 9.876390130737500161e-01 1.129487174284200742e-04
2.991892416229042283e+03 9.860937585935034555e-01 1.129487174284200742e-04
2.991912848432868486e+03 9.847176564930959497e-01 1.129487174284200742e-04
2.991933280436234782e+03 9.834180618560833809e-01 1.129487174284200742e-04
2.991953712539136177e+03 9.818989266049512610e-01 1.129487174284200742e-04
2.991974144741565397e+03 9.804991813371881637e-01 1.129487174284200742e-04
2.991994576743534708e+03 9.790447434576656782e-01 1.129487174284200742e-04
